filename,relative_path,page_number,num_pages,file_size_kb,preview
HOUSE_OVERSIGHT_011277.txt,TEXT\001\HOUSE_OVERSIGHT_011277.txt,11277,3,5.76,"From: Ens, Amand  Sent: 12/9/2016 3:46:19 PM  To: jeffrey E. [jeeyacation@gmail.com]; Rich Kahn  Subject: RE: Financials: buy XLF call spreads  Attachments: image001.png  a  Importance: High  We conti"
HOUSE_OVERSIGHT_011280.txt,TEXT\001\HOUSE_OVERSIGHT_011280.txt,11280,4,7.11,"From: Ens, Amanda_____________________________  Sent: 12/9/2016 4:03:45 PM  To: jeffrey E. [jeeyacation@gmail.com]; Richard Kah ___________________________________  Subject: RE: Financials: buy XLF ca"
HOUSE_OVERSIGHT_011904.txt,TEXT\001\HOUSE_OVERSIGHT_011904.txt,11904,3,3.45,From: Lawrence Krauss  Sent: 4/5/2018 10:16:55 PM  To: jeffrey E. [jeeyacation@gmail.com]  Subject: Re:  Importance: High  Let's do a men of the world conference.  Kevin spacey  Bill Clinton  Al frank
HOUSE_OVERSIGHT_011907.txt,TEXT\001\HOUSE_OVERSIGHT_011907.txt,11907,1,1.04,"From: Nicholas Ribis  Sent: 5/7/2019 1:53:22 PM  To: 'J Deevacation@gmail.com]  Subject: RE:  Importance: High  More bad news for our friend  From: J [mailto:jeevacation@gmail.com]  Sent: Tuesday, May"
HOUSE_OVERSIGHT_012037.txt,TEXT\001\HOUSE_OVERSIGHT_012037.txt,12037,7,17.96,"From: jeffrey E. [jeeyacation@gmail.com]  Sent: 8/15/2016 12:09:58 PM  To: Kathy Ruemmler  Subject: Re: Press: AmLaw Litigation Daily on Emirates Bank win  Did you write this ?C)  On Monday, August 15"
HOUSE_OVERSIGHT_012044.txt,TEXT\001\HOUSE_OVERSIGHT_012044.txt,12044,4,6.67,"From: jeffrey E. [jeeyacation@gmail.com]  Sent: 12/9/2016 3:56:27 PM  To: Ens, Amanda  Subject: Re: Financials: buy XLF call spreads  Attachments: image001.png  Importance: High  lets try, 250k premiu"
HOUSE_OVERSIGHT_012102.txt,TEXT\001\HOUSE_OVERSIGHT_012102.txt,12102,1,0.87,From: J [jeevacation@gmail.com]  Sent: 5/7/2019 4:29:00 AM  To: Nicholas Ribis  https://www.nytimes.com/20 1 9/05/0 6/us/p olitics/trump -inauguration-step hanie-winston- wolkoff.html?action=click&mod
HOUSE_OVERSIGHT_012684.txt,TEXT\001\HOUSE_OVERSIGHT_012684.txt,12684,1,4.34,From:  Sent: 2/17/2011 6:19:01 PM  To: jeevacation@gmail.com  Subject: Trump & Patricia Kluge  Importance: High  Trump in talks to buy socialite Kluge's Charlottesville vineyard  and estate  By Annie 
HOUSE_OVERSIGHT_012685.txt,TEXT\001\HOUSE_OVERSIGHT_012685.txt,12685,5,25.47,"From:  Sent:  To:  Subject:  Attachments:  Stephanie______________  3/4/2011 11:15:40 PM  Peggy Siegal•  RE: Oscar diary  Oscar story.doc  Importance: High  jeeyacation@gmail.com  Jeffrey,  Peggy's st"
HOUSE_OVERSIGHT_012711.txt,TEXT\001\HOUSE_OVERSIGHT_012711.txt,12711,7,14.96,From: Stephanie  Sent: 6/14/2011 4:54:35 PM  To: jeevacation@gmail.com  CC: Lesley Groff  Subject: RE: Events this week  Importance: High  Other events that are not listed below (they were sent over f
